Activiti;0fb87;25e35
Activiti;0606d;0aef7
atmosphere;41d97;95e31
cucumber-jvm;62ed9;4f458
dropwizard;7fb11;adc0a
druid;07131;21613
druid;4f70b;e519f
elastic-river;cbcc2;02dc4
elastic-river;0fb6b;5d7c5
eureka;0a539;578f4
fitnesse;6c383;d2474
hector;beaab;45464
hector;2bf74;651a1
hector;5cfd9;25c28
HikariCP;b4510;da5c0
jenkins;59d31;21d13
jsoup;e064b;38e20
jsoup;55190;97c3c
jsoup;c1ee9;1b48d
logback;077e4;3d993
netty;c2417;b3b09
okhttp;cd165;4c8ce
opentripplanner;aa201;4585d
orientdb;7bb40;fa7e5
retrofit;931e2;e5a67
RxJava;fd9b6;4350f
SimianArmy;1f0f5;82773
SimianArmy;24b39;b9e7b
alluxio;04c6c;b2ae1
alluxio;4a97b;ebb08
titan;43eef;a3a3a
titan;319db;8fe95
voldemort;24c82;64c90
voldemort;df73c;dc509
webbit;92c8b;0d577
